BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
18-147854,Gouvernement de la Polynésie française,None,Francis Pezet,,,Service de l'InformatiqueRue Dumont d'UrvilleImmeuble TORIKI,98713,Papeete,,689-40-54-43-46,,689-40-43-56-22,secretariat@informatique.gov.pf,,,,,,,False,False,,False,False
19-148183,Ville de Joué Les Tours,None,,,FRB04,Hôtel de Ville Parvis Raymond Lory C.S. 50108,37301,Joué-lès-tours,,(+33) 2-47-70-00,,,m.quadjovie@jouelestours.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2018,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2018,,,,,False,True,,False,True
20-117516,COMMUNAUTE D AGL DU NORD GRANDE TERRE,None,,Communauté d'Agglomération du Nord Grande-Terre,FRY10,"2, Lot Vallée de Roujol",97131,PETIT-CANAL,,(+59)0- 5-90-48-77-80,,,marches@cangt-guadeloupe.fr,http://www.marches-securises.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
20-133423,Ville du Tréport,None,Mr JACQUES Laurent,,,1 rue François Mitterrand,76470,Le Tréport,,02-35-50-55-20,,,marchespublics@ville-le-treport.fr,http://www.ville-le-treport.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
20-146430,Commune de Cenon,None,Service achats marchés publics,,,1 avenue Carnot - CS 50027,33150,Cenon,,05-57-80-70-82,,05-56-86-72-50,service.achats@ville-cenon.fr,http://www.ville-cenon.fr,http://www.demat-ampa.fr,,,,,False,False,,False,False
20-31911,Laval Mayenne Aménagements,None,,,FR,"17, rue de Franche Comté - CS 30512",53005,Laval,,(+33) 2-43-91-45-25,,(+33) 2-43-91-45-29,contact@groupement-lma.fr,http://www.marches-securises.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
20-67752,Ville de Lorient,None,,,FRH04,2 Bld Général Leclerc,56100,Lorient,,(+33) -02-97-02-22-64,,,achats@mairie-lorient.fr,http://www.lorient.bzh,https://www.e-megalisbretagne.org/,,,,,False,True,,False,True
20-77421,Tunnel Euralpin Lyon Turin SAS,None,Fonction Contrats,,,Savoie Technolac - bâtiment Homère - 13 allée du Lac du Constance - B.P. 281 73375 Le Bourget-du-Lac,73375,Le-Bourget-du-Lac,,04-79-68-56-50,,,fonction.contrats@telt-sas.com,http://www.telt-sas.com,http://telt.achatpublic.com,,,,,False,False,,False,False
20-78226,MINARM/DMAé,None,Monsieur le sous-directeur achats de la DMAé,,,"Direction de la maintenance aéronautiqueBalard Parcelle Victor, 60 boulevard du général Martial Valin CS 21623",75509,Paris cedex 15,,(+33) 5-33-89-78-25,,,dmae-marches-publics.trait.fct@intradef.gouv.fr,http://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
20-96060,Région Guadeloupe,None,,,FRY10,Avenue Paul lacave - Petit Paris,97100,Basse-Terre,GP,(+59)0- 5-90-80-40-40,,,dcp-region@cr-guadeloupe.fr,http://www.regionguadeloupe.fr,http://www.eguadeloupe.com,,,,,False,True,,False,True
21-10144,CA Agglomération du Choletais,None,,service Marchés-Contrats,FRG02,Hôtel dAgglomération - Rue Saint Bonaventure - BP 62111,49321,Cholet,,(+33) 2-44-09-26-90,,,marches-contrats@choletagglomeration.fr,http://www.cholet.fr,,,,,,False,True,,False,True
21-10730,Ville de Quimper,None,,Service commande publique,FRH02,"Hôtel de Ville, CS 26004",29107,Quimper cedex,,(+33) 2-98-98-88-50,,(+33) 2-98-98-87-26,marches.publics@quimper.bzh,http://www.quimper.bzh,http://Marches.megalis.bretagne.bzh,,,,,False,True,,False,True
21-14543,Ecole nationale vétérinaire d'Alfort,None,,,FR107,7 avenue du Général de Gaulle,94704,Maisons-alfort cedex,,(+33) 1-43-96-72-85,,,marches@vet-alfort.fr,http://www.vet-alfort.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
21-14950,MINARM/TERRE/SIMMT,None,Monsieur le chef de la division des contrats,Mme GERMAIN Alexandra,,Etablissement ingénieur général Jayat CS 30704,78013,Versailles,,,,,simmt-sdc-berc.cmf.agt.fct@intradef.gouv.fr,,,,,,,False,False,,False,False
21-15438,Agence Technique Départementale,25240514700015,,,FRI11,2 Place Hoche,24000,Perigueux,,(+33) 5-53-06-65-65,,(+33) 5-53-09-44-33,atd24@atd24.fr,http://www.atd24.fr/,http://www.marchespublics.dordogne.fr,,,,,False,False,,False,False
21-15477,Département de Maine-et-Loire,22490001900015,,Service de la commande publique et des assurances,FRG02,"Hôtel du Département - Direction des finances, des affaires juridiques et de l'évaluation - 48 B boulevard Foch - CS 94104",49941,Angers cedex 9,,(+33) 2-41-81-41-17,,,commande-publique@maine-et-loire.fr,https://www.maine-et-loire.fr,https://www.anjoumarchespublics.fr,,,,,False,True,,False,True
21-17721,REGION GRAND EST,None,,Direction de l'Achat Public,FRF,Hôtel de Région - Place Gabriel Hocquard   CS 81004,57036,METZ Cedex 1,,(+33) 3-87-33-62-11,,,marchesfournituresservicesmetz@grandest.fr,http://www.grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
21-21243,MINARM/DGA/DO/S2A,FR5415200046900014,,Ne pas déposer les plis et les questions sur l'adresse e-mail ci-après. Voir la rubrique VI.3.2) infra pour les modalités de transmission des candidatures,,Ministère des armées - Direction générale de l'armement - Direction des opérations - Service des achats d'armement / division achats Bruz - (MINARM/DGA/DO/S2A/PROD/DA-BZ) - boite postale 7,35998,RENNES cedex 9,,(+33) 2- 9-9 -42- 6-6 -70,,,dga-do-s2a.achats-bruz.fct@intradef.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,,,False,False,,False,False
21-23587,DIR Atlantique,None,Monsieur le directeur interdépartemental des routes Atlantique,,,19 allée des PinsCS 31670,33073,Bordeaux,,05-57-81-64-90,,05-57-81-64-91,dir-atlantique@developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
