BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
18-147854,False,False,False,False,False,False,False,
20-133423,False,False,False,False,True,False,False,
20-146430,False,False,False,False,True,False,False,
20-77421,False,False,False,False,False,False,False,
21-23587,False,True,False,False,False,False,False,
21-26306,False,False,False,False,True,False,False,
21-27158,False,False,False,False,False,True,False,
21-32483,False,False,False,False,False,False,False,
21-34777,False,False,False,False,False,False,True,
21-36171,False,False,False,False,False,False,False,
21-38541,False,False,False,False,False,False,False,
21-40410,False,False,False,False,False,False,True,
21-40601,False,False,False,False,True,False,False,
21-40848,False,False,False,False,True,False,False,
21-41881,False,False,False,False,False,False,False,
21-42331,False,False,False,False,True,False,False,
21-44192,False,False,False,True,False,False,False,
21-44303,False,False,False,False,False,True,False,
21-45122,False,False,False,False,True,False,False,
21-45367,False,False,False,False,False,False,True,
21-45877,False,True,False,False,False,False,False,
21-46785,False,False,False,False,False,False,False,
21-47087,False,False,False,True,False,False,False,
21-47188,False,False,False,False,False,False,False,
21-47284,False,False,False,False,False,False,False,
21-49009,False,False,False,False,True,False,False,
21-49257,False,False,False,False,False,False,True,
21-49957,False,False,False,False,True,False,False,
21-50616,False,False,False,False,False,True,False,
21-51151,False,False,False,False,True,False,False,
21-51361,False,False,False,False,False,True,False,
21-2805,False,False,False,False,True,False,False,
21-51820,False,False,True,False,False,False,False,
21-52036,False,False,False,False,True,False,False,
21-52083,False,False,False,True,False,False,False,
21-52136,False,False,False,False,False,False,True,
21-52151,False,False,False,True,False,False,False,
21-52440,False,False,False,False,False,True,False,
21-53013,False,False,False,True,False,False,False,
21-53092,False,False,False,False,False,False,True,
21-53175,False,False,False,False,True,False,False,
21-53286,False,False,False,False,True,False,False,
21-54115,False,False,False,True,False,False,False,
21-54237,False,False,False,True,False,False,False,
21-54454,False,False,False,False,False,False,True,
21-54897,False,False,False,False,False,True,False,
21-54925,False,False,False,False,True,False,False,
21-55316,False,False,False,True,False,False,False,
21-55370,False,False,False,True,False,False,False,
21-55427,False,True,False,False,False,False,False,
21-55614,False,False,False,False,False,False,True,
21-55884,False,False,False,False,False,False,True,
21-55885,False,False,False,False,False,False,True,
21-55939,False,False,False,True,False,False,False,
21-56005,False,False,False,True,False,False,False,
21-56277,False,True,False,False,False,False,False,
21-56302,False,False,False,False,False,False,True,
21-56357,False,False,False,False,True,False,False,
21-56413,False,False,False,False,False,False,False,
21-56662,False,False,False,True,False,False,False,
21-56672,False,False,False,False,True,False,False,
21-56740,False,False,False,False,False,True,False,
21-56775,False,False,False,False,False,False,True,
21-56822,False,False,False,True,False,False,False,
21-56824,False,False,False,False,False,False,False,
21-56947,False,False,False,True,False,False,False,
21-57004,False,False,False,False,False,False,True,
21-57026,False,False,False,False,True,False,False,
21-57030,False,False,False,False,True,False,False,
21-57038,False,False,False,False,True,False,False,
21-57048,False,False,False,False,False,True,False,
21-57085,False,True,False,False,False,False,False,
21-57353,False,False,False,True,False,False,False,
21-57398,False,False,False,True,False,False,False,
21-57403,False,False,False,True,False,False,False,
21-57408,False,False,False,False,False,False,True,
21-57434,False,False,False,False,True,False,False,
21-57511,False,False,False,False,True,False,False,
21-57619,False,False,False,False,False,False,True,
21-57625,False,False,False,False,False,False,True,
21-57698,False,False,False,False,True,False,False,
21-57745,False,False,False,False,True,False,False,
21-57757,False,False,True,False,False,False,False,
21-57774,False,False,False,False,False,False,True,
21-57815,False,False,False,False,False,False,True,
21-57830,False,False,False,True,False,False,False,
21-57921,False,False,False,False,False,True,False,
21-57992,False,False,False,True,False,False,False,
21-58015,False,False,False,False,False,False,False,
21-58061,False,False,False,False,False,False,True,
21-58069,False,False,False,False,False,True,False,
17-129047,False,False,False,False,False,False,False,
21-58182,False,False,False,False,True,False,False,
21-58211,False,False,True,False,False,False,False,
17-2632,False,False,False,False,True,False,False,
21-58407,False,False,False,False,False,False,True,
17-56904,False,False,False,False,False,False,False,
21-58485,False,False,False,False,False,False,False,
21-58498,False,False,False,False,False,False,True,
21-58530,False,False,False,False,False,False,False,
21-58534,False,False,False,False,False,False,True,
17-143048,False,False,False,False,True,False,False,
21-58547,False,False,False,False,True,False,False,
21-58549,False,False,False,False,False,False,False,
18-15275,False,False,False,False,False,False,True,
21-58577,False,False,False,False,True,False,False,
21-58586,False,False,False,False,False,False,False,
21-58639,False,False,False,False,False,True,False,
18-163112,False,False,False,False,False,False,True,
17-148219,False,True,False,False,False,False,False,
21-58826,False,True,False,False,False,False,False,
21-58833,False,False,False,False,False,False,False,
21-58838,False,False,False,False,False,False,False,
21-58864,False,False,False,False,False,False,True,
21-58865,False,False,False,False,True,False,False,
21-58868,False,False,False,False,False,False,True,
21-58885,False,False,False,False,False,True,False,
21-58888,False,False,False,False,False,True,False,
21-58892,False,False,False,False,True,False,False,
21-58897,False,False,False,False,False,False,True,
21-58911,False,False,False,False,True,False,False,
21-58913,False,False,False,False,True,False,False,
21-58914,False,False,False,False,False,False,True,
21-58917,False,False,False,False,False,False,False,
21-58918,False,False,False,False,False,False,True,
21-58919,False,False,False,False,False,True,False,
21-58922,False,False,False,True,False,False,False,
21-58923,False,False,False,False,True,False,False,
21-58924,False,False,False,True,False,False,False,
21-58926,False,False,False,True,False,False,False,
21-58927,False,False,False,False,True,False,False,
21-58928,False,False,False,False,True,False,False,
