BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
21-62801,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-66478,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-71108,,- Le règlement des dépenses se fera par virement bancaire. - le financement est assuré par les ressources selon l'etat Prévisionnel des Recettes et Dépenses des Etablissements du GHT de Haute alsace. - le délai global de paiement ne pourra excéder 50 jours selon les dispositions de l'article R2192-11 du Code de la Commande Publique. - une avance est accordée dans les conditions fixées aux articles R2191-3 à 10 du Code de la Commande Publique.,Aucune forme de groupement n'est imposée par le pouvoir adjudicateur.,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-73602,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-77464,"une retenue de garantie de 5,0 % du montant initial du marché Pour les travaux neufs,, et supérieurs à 40 000euros (H.T.) par opération (1 devis par opération). Garantie à première demande couvrant 100,0 % du montant de l'avance Pour les travaux d'entretien et inférieur à 40 000euro HT: Aucune clause de garantie financière ne sera appliquée.",": l'accord-cadre est conclu à compter de la notification du marché. Les prestations seront rémunérées par application aux quantités réellement exécutées des prix unitaires fixés dans le bordereau des prix. Avance de 5,0 % accordée dans les conditions prévues au contrat. Délai global de paiement des prestations de 30 jours dans les conditions prévues au contrat. Modalités de financement des prestations : des ressources propres de la ville",aucune forme de groupement imposée à l'attributaire du marché. Interdiction de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements.,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-81213,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-82919,"-garanties professionnelles et financières suffisantes - Formulaire Dc1, Lettre de candidature - habilitation du mandataire par ses cotraitants. Formulaire Dc2, Déclaration du candidat Individuel ou du membre du groupement. Garanties techniques suffisantes.","Le règlement des dépenses se fera par virement bancaire, conformément à l'article R.2191 du Code de la Commande Publique.Le délai global de paiement est de 30 jours.",Solidaire.,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-84435,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-84509,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-85142,"En application de l'article R2191-7 du code de la commande publique, le versement de l'avance est conditionnée à la constitution d'une garantie à première demande portant sur l'intégralité du montant de l'avance accordée.",Fonds propres. Subvention.,"Groupement conjoint ou solidaire. En cas de groupement conjoint, le mandataire devra être solidaire.",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
