BOAMP_AVIS_NUM,D_16_01_Renseignementscomplementaires_Commandeelectroniqueoui,D_16_02_Renseignementscomplementaires_Commandeelectroniquenon,D_16_03_Renseignementscomplementaires_Facturationelectroniqueoui,D_16_04_Renseignementscomplementaires_Facturationelectroniquenon,D_16_05_Renseignementscomplementaires_Paiementelectroniqueoui,D_16_06_Renseignementscomplementaires_Paiementelectroniquenon,D_16_07_Renseignementscomplementaires_Renscomplement,D_16_08_Renseignementscomplementaires_Proceduresrecoursprecision,D_16_09_Renseignementscomplementaires_Adressescomplementaires,D_16_09_01_Renseignementscomplementaires_Adressescomplementaires_Adresse,D_16_09_01_01_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type,D_16_09_01_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admintech,D_16_09_01_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admin,D_16_09_01_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Tech,D_16_09_01_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Renseignements,D_16_09_01_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Documents,D_16_09_01_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Envoyeroffres,D_16_09_01_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Instancerecours,D_16_09_01_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Organemediation,D_16_09_01_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Rensrecours,D_16_09_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Denomination,D_16_09_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codeidentnational,D_16_09_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Correspondant,D_16_09_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Contact,D_16_09_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Adresse,D_16_09_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Cp,D_16_09_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Ville,D_16_09_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Pays,D_16_09_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codenuts,D_16_09_01_11_Renseignementscomplementaires_Adressescomplementaires_Adresse_Tel,D_16_09_01_12_Renseignementscomplementaires_Adressescomplementaires_Adresse_Poste,D_16_09_01_13_Renseignementscomplementaires_Adressescomplementaires_Adresse_Fax,D_16_09_01_14_Renseignementscomplementaires_Adressescomplementaires_Adresse_Mel,D_16_09_01_15_Renseignementscomplementaires_Adressescomplementaires_Adresse_Url
21-52813,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal Administratif de Martinique,None,,,12 rue du Citronnier - Plateau Fofo - CS 17103,97271,Schoelcher Cedex,MQ,,05-96-71-66-67,,05-96-63-10-08,greffe.ta-fort-de-france@juradm.fr,http://martinique.tribunal-administratif.fr/
21-52813,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Greffe du Tribunal Administratif de Martinique,None,,,12 rue du Citronnier - Plateau Fofo - CS 17103,97271,Rivière-Salée,MQ,,05-96-71-66-67,,05-96-63-10-08,greffe.ta-fort-de-france@juradm.fr,http://martinique.tribunal-administratif.fr
21-61979,False,False,False,False,False,False, Date d'envoi du présent avis au JOUE et au BOAMP : 29 juin 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal administratif de Paris,None,,,7 Rue Jouy,75004,Paris,,,(+33) 1-44-59-44-00,,(+33) 1-44-59-46-46,greffe.ta-paris@juradm.fr,
21-61979,False,False,False,False,False,False, Date d'envoi du présent avis au JOUE et au BOAMP : 29 juin 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,True,False,Préfecture de la région Île-de-France - Préfecture de Paris,None,,,"5, rue Leblanc",75911,Paris Cedex 15,,,(+33) 1-82-52-42-67,,(+33) 1-82-52-42-95,ccira@paris-idf.gouv.fr,
21-61979,False,False,False,False,False,False, Date d'envoi du présent avis au JOUE et au BOAMP : 29 juin 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Tribunal administratif de Paris,None,,,7 Rue Jouy,75004,Paris,,,(+33) 1-44-59-44-00,,(+33) 1-44-59-46-46,greffe.ta-paris@juradm.fr,
21-62801,False,True,False,True,False,True,"Pour les lots 1 à 4, conformément aux dispositions de larticle R. 2113-1 du Code de la commande publique, le nombre maximal de lot qui peut être attribué à un même soumissionnaire est de 2 lots.Dans lhypothèse où un candidat serait classé premier pour plus dun dentre eux, le choix du lot qui lui sera attribué sera fonction de lordre de préférence quil aura établi au titre de la consultation. En labsence de réponse sur lordre de préférence, lordre chronologique des lots (1, 2, 3 et 4) sera retenu.. Date d'envoi du présent avis au JOUE et au BOAMP : 30 juin 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal administratif de Nantes,None,,,6 allée de l'île Gloriette - B.P. 24111,None,Nantes Cedex 01,,,,,,greffe.ta.nantes@juradm.fr,
21-62801,False,True,False,True,False,True,"Pour les lots 1 à 4, conformément aux dispositions de larticle R. 2113-1 du Code de la commande publique, le nombre maximal de lot qui peut être attribué à un même soumissionnaire est de 2 lots.Dans lhypothèse où un candidat serait classé premier pour plus dun dentre eux, le choix du lot qui lui sera attribué sera fonction de lordre de préférence quil aura établi au titre de la consultation. En labsence de réponse sur lordre de préférence, lordre chronologique des lots (1, 2, 3 et 4) sera retenu.. Date d'envoi du présent avis au JOUE et au BOAMP : 30 juin 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Tribunal administratif de Nantes,None,,,6 allée de l'île Gloriette - B.P. 24111,None,Nantes Cedex 01,,,,,,greffe.ta.nantes@juradm.fr,
21-66478,False,True,False,True,False,True,"La forme retenue pour lexécution du contrat est laccord-cadre mono-attributaire de service sexécutant par bons de commandes et générant des marchés subséquents prenant la forme dun accord-cadre à bons de commandes sans minimum annuel et avec un montant maximum annuel de 10 000 000,00 euro HT.La consultation est décomposée en huits lots. En application de l'article L.2151-1 du Code de la commandepublique, les opérateurs économiques ne peuvent pas présenter d'offres variables en fonction du nombre de lots pouvant être obtenus. Le règlement des dépenses se fera par mandat administratif suivi d'un virement dans les conditions fixées par les pièces de l'accord-cadre. L'accord-cadre prévoit le paiement par carte achat dans les conditions fixées par les pièces de l'accord-cadre. Le marché contient une clause sociale de formation sous statut scolaire au bénéfice de jeunes en situation de décrochage scolaire (150h minimum). Date d'envoi du présent avis au JOUE et au BOAMP : 29 juin 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal administratif de Paris,None,,,7 rue de Jouy,75004,Paris,,,(+33) 1-44-59-44-00,,(+33) 1-44-59-46-46,greffe.ta-paris@juradm.fr,
21-66478,False,True,False,True,False,True,"La forme retenue pour lexécution du contrat est laccord-cadre mono-attributaire de service sexécutant par bons de commandes et générant des marchés subséquents prenant la forme dun accord-cadre à bons de commandes sans minimum annuel et avec un montant maximum annuel de 10 000 000,00 euro HT.La consultation est décomposée en huits lots. En application de l'article L.2151-1 du Code de la commandepublique, les opérateurs économiques ne peuvent pas présenter d'offres variables en fonction du nombre de lots pouvant être obtenus. Le règlement des dépenses se fera par mandat administratif suivi d'un virement dans les conditions fixées par les pièces de l'accord-cadre. L'accord-cadre prévoit le paiement par carte achat dans les conditions fixées par les pièces de l'accord-cadre. Le marché contient une clause sociale de formation sous statut scolaire au bénéfice de jeunes en situation de décrochage scolaire (150h minimum). Date d'envoi du présent avis au JOUE et au BOAMP : 29 juin 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,True,False,Le médiateur des entreprises,None,,,98-102 rue de Richelieu,75002,Paris,,,(+33) 1-53-17-89-55,,(+33) 1-53-17-87-92,,http://www.mediateur-des-entreprises.fr
21-66478,False,True,False,True,False,True,"La forme retenue pour lexécution du contrat est laccord-cadre mono-attributaire de service sexécutant par bons de commandes et générant des marchés subséquents prenant la forme dun accord-cadre à bons de commandes sans minimum annuel et avec un montant maximum annuel de 10 000 000,00 euro HT.La consultation est décomposée en huits lots. En application de l'article L.2151-1 du Code de la commandepublique, les opérateurs économiques ne peuvent pas présenter d'offres variables en fonction du nombre de lots pouvant être obtenus. Le règlement des dépenses se fera par mandat administratif suivi d'un virement dans les conditions fixées par les pièces de l'accord-cadre. L'accord-cadre prévoit le paiement par carte achat dans les conditions fixées par les pièces de l'accord-cadre. Le marché contient une clause sociale de formation sous statut scolaire au bénéfice de jeunes en situation de décrochage scolaire (150h minimum). Date d'envoi du présent avis au JOUE et au BOAMP : 29 juin 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Tribunal administratif de Paris,None,,,7 rue de Jouy,75004,Paris,,,(+33) 1-44-59-44-00,,(+33) 1-44-59-44-00,greffe.ta-paris@juradm.fr,http://www.paris.tribunaladministratif.fr
