BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
21-61979,True,False,False,False,False,False,False,,False,False,,,,False,Suite à un appel doffres ouvert (SU-2020-DA-DSI-MAINT_INFORM) les offres déposées dans les délais prescrits ont été déclarées irrégulières. Consultation : SU-2020-DA-DSI-MAINT_INFORM Avis de marché publié au BOAMP ET AU JOUE N° 20-71638
21-88912,False,False,False,True,False,False,False,,False,False,,,,False,Il s'agit d'assurer la continuité de l'activité de maintenance et de fourniture de services associés au dispositif de téléprésence Polycom. La société Poly n'ouvre la possibilité d'intervention sur la solution en place qu'à Orange
21-89057,False,False,False,True,False,False,False,,False,False,,,,False,"Seule la société Siemens Healthcare SAS distribue à ce jour les produits relatifs aux gammes APTIO, VISTA, CENTAUR XPT et les pièces détachées associées sur le territoire français en vertu du contrat de distribution qui la lie à Siemens Healthcare GmbH. La maintenance ne peut être réalisée par les fabricants des automates, cotraitants, représentés par la société SIEMENS HEALTHCARE DIAGNOSTIC SAS, mandataire"
21-89169,False,False,False,False,False,True,False,,False,False,,,,False,"Ce marché est un marché passé sans publicité ni mise en concurrence préalables, conformément à l'article R. 2122-3 du code de la commande publique.Compte tenu que VOLLEY BALL CLUB CHAMALIERES (organisateur exclusif des rencontres sportives) détient l'exclusivité des droits de commercialisation de ses espaces promotionnels, de ses billets sportifs et des prestations de communication concernant le club de volley de Chamalières lors de la saison sportive 2020-2021."
21-89174,False,False,False,False,False,True,False,,False,False,,,,False,"Ce marché est un marché passé sans publicité ni mise en concurrence préalables, conformément à l'article R. 2122-3 du code de la commande publique.Compte tenu que la chorale de Roanne Basket (organisateur exclusif des rencontres sportives) détient l'exclusivité des droits de commercialisation de ses espaces promotionnels, de ses billets sportifs et des prestations de communication concernant la chorale de Roanne Basket lors de la saison sportive 2020-2021."
21-89208,False,False,False,False,False,True,False,,False,False,,,,False,"Ce marché est un marché passé sans publicité ni mise en concurrence préalables, conformément à l'article R. 2122-3 du code de la commande publique.Compte tenu que l'Olympique Lyonnais Groupe (organisateur exclusif des rencontres sportives) détient l'exclusivité des droits de commercialisation de ses espaces promotionnels, de ses billets sportifs et des prestations de communication concernant la chorale de l'Olympique Lyonnais lors de la saison sportive 2020-2021."
21-89219,False,False,False,False,False,True,False,,False,False,,,,False,"Ce marché est un marché passé sans publicité ni mise en concurrence préalables, conformément à l'article R. 2122-3 du code de la commande publique.Compte tenu que CHAMONIX HOCKEY ELITE (organisateur exclusif des rencontres sportives) détient l'exclusivité des droits de commercialisation de ses espaces promotionnels, de ses billets sportifs et des prestations de communication concernant Chamonix Hockey Elite lors de la saison sportive 2020-2021."
21-89878,False,False,False,True,False,False,False,,False,False,,,,False,La société FRESENIUS VIAL détient un droit d'exclusivité technique l'habilitant seule à réaliser les prestations visées en objet.
21-90040,False,False,False,False,False,True,False,,False,False,,,,False,"Les différentes prestations ne sont prises en charge que par la société Wolters Kluwer Lamy (WKL) qui est la seule société commercialisant :- La base de données Lamyline ;- L'accès aux revues d'information professionnelles Liaisons sociales Quotidien, Liaisons Sociales Europe et Protection Sociale Informations sur la même plateforme.- L'accès aux revues juridiques (Jurisprudence Sociale Lamy) et encyclopédies (Lamy Droit de la santé)Ce service n'est commercialisé par aucun intermédiaire. Les éditeurs juridiques détiennent l'exclusivité de la diffusion de leurs données. Ils détiennent notamment des droits de propriété intellectuelle sur les publications et bases de données qu'ils éditent sur tout support et par tout vecteur, y compris internet. Eux seuls peuvent proposer des abonnements à tarif dérogatoire par rapport aux prix catalogue. Les conditions de vente appliquées par les distributeurs sont déterminées par l'éditeur."
21-90176,False,False,False,False,False,True,False,,False,False,,,,False,"Le titulaire est le concepteur des matériels de ce marché et détient le savoir-faire et l'expertise nécessaire à leur maintien en condition opérationnelle;il est le seul à détenir les connaissances relatives au circuit d'approvisionnement des pièces, qui ne sont identifiées que par des références primaires DESHON."
