BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
21-52813,2021-06-30 23:00:00,,2021-08-31 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,270,Plomberie (travaux),CF_NIV_SUIV,False,False,972,nan,Travaux de renforcement parasismique de l'école mixte B à Rivière-Salée - relance lot no6 revêtement sols et murs
21-52813,2021-06-30 23:00:00,,2021-08-31 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,308,Revêtements de sols,CF_NIV_SUIV,False,False,972,nan,Travaux de renforcement parasismique de l'école mixte B à Rivière-Salée - relance lot no6 revêtement sols et murs
21-61979,2021-06-30 23:00:00,,2021-07-31 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,454,Informatique (maintenance serveurs et réseaux),CF_NIV_SUIV,False,False,75,nan,maintenance des serveurs HP de la direction des systèmes d'information (dsi) de sorbonne université
21-62801,2021-07-01 23:00:00,,2021-09-08 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,365,Voirie,CF_NIV_SUIV,False,False,44,nan,travaux de réfection de voirie sur le territoire de nantes métropole
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,75,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,92,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,91,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,93,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,94,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,77,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,78,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-66478,2021-06-30 23:00:00,,2021-08-01 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,True,95,nan,"maintenance préventive et corrective des ssi et eli des bâtiments de la préfecture de police, d'autres services du sgami idf ou relevant de l'administration centrale"
21-71108,2021-07-01 23:00:00,2021-08-19 16:00:00,2021-08-18 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,212,Matériel médical,CF_NIV_SUIV,False,False,68,nan,"fourniture, installation et mise en service de mobiliers spécialisés pour espaces thérapeutiques sécurisés"
21-71108,2021-07-01 23:00:00,2021-08-19 16:00:00,2021-08-18 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,230,Mobilier,CF_NIV_SUIV,False,False,68,nan,"fourniture, installation et mise en service de mobiliers spécialisés pour espaces thérapeutiques sécurisés"
21-73602,2021-06-30 23:00:00,,2021-07-28 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,119,Extincteur,CF_NIV_SUIV,False,False,67,nan,maintenance et fourniture de matériel de lutte contre l'incendie
21-73602,2021-06-30 23:00:00,,2021-07-28 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,<NA>,,CF_NIV_SUIV,CF_NIV_SUIV,119,Extincteur,CF_NIV_SUIV,False,False,68,nan,maintenance et fourniture de matériel de lutte contre l'incendie
